Accession	Organism	Kingdom	Protein_Length	Cleavage_Site	label	Transmembrane_Helix_N_Terminus	fold	Type
Q18508	Caenorhabditis elegans	Metazoa	1784		0	False	3.0	train
Q86TG1	Homo sapiens	Metazoa	271		0	True	3.0	train
P53127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1403		0	False	2.0	train
A0A8I6ASZ5	Rattus norvegicus	Metazoa	666		0	False	2.0	train
A0A286YD83	Mus musculus	Metazoa	63		0	True	1.0	train
Q96GZ6	Homo sapiens	Metazoa	507		0	True	4.0	train
Q94AH1	Arabidopsis thaliana	Plants	300		0	True	1.0	train
P0DXC1	Homo sapiens	Metazoa	130		0	False	3.0	train
Q9LDC0	Arabidopsis thaliana	Plants	365		0	False	0.0	train
Q7TMF2	Mus musculus	Metazoa	345		0	False	1.0	train
Q9NPF0	Homo sapiens	Metazoa	282	35.0	1		1.0	train
Q76LB1	Triticum aestivum	Plants	459		0	True	4.0	train
Q6ZMT4	Homo sapiens	Metazoa	941		0	False	1.0	train
P38242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	237		0	True	3.0	train
P27788	Zea mays	Plants	152		0	False	0.0	train
Q10990	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490		0	False	3.0	train
Q9HAJ7	Homo sapiens	Metazoa	183		0	False	2.0	train
P25208	Homo sapiens	Metazoa	207		0	False	3.0	train
O74910	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	638		0	False	3.0	train
Q76CA2	Monoplex parthenopeus	Metazoa	275	23.0	1		2.0	train
Q96IL0	Homo sapiens	Metazoa	206		0	False	0.0	train
Q8NEM7	Homo sapiens	Metazoa	779		0	False	1.0	train
Q8BYM8	Mus musculus	Metazoa	551		0	False	1.0	train
P01350	Homo sapiens	Metazoa	101	21.0	1		0.0	train
Q8N2Y8	Homo sapiens	Metazoa	1516		0	False	1.0	train
P25584	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	144		0	True	2.0	train
Q9LQF2	Arabidopsis thaliana	Plants	551		0	False	0.0	train
P49443	Mus musculus	Metazoa	382		0	False	1.0	train
Q02809	Homo sapiens	Metazoa	727	18.0	1		2.0	train
Q6DRC5	Danio rerio	Metazoa	1014		0	False	1.0	train
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	1		1.0	train
Q04500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	899		0	False	3.0	train
O22267	Arabidopsis thaliana	Plants	1122		0	True	2.0	train
O14980	Homo sapiens	Metazoa	1071		0	False	4.0	train
Q20497	Caenorhabditis elegans	Metazoa	3498		0	False	2.0	train
P38325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	134		0	True	2.0	train
Q01151	Homo sapiens	Metazoa	205	19.0	1		2.0	train
Q7SA88	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	439		0	False	2.0	train
Q99LY9	Mus musculus	Metazoa	106		0	False	2.0	train
O94606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	473		0	False	3.0	train
Q3KRA9	Homo sapiens	Metazoa	238		0	False	4.0	train
A0A2Z4LIS9	Homo sapiens	Metazoa	290		0	False	0.0	train
P38222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	552		0	False	1.0	train
Q86X29	Homo sapiens	Metazoa	649		0	False	3.0	train
P12853	Chlamydomonas reinhardtii	Plants	291		0	False	3.0	train
Q8BRE0	Mus musculus	Metazoa	195		0	False	4.0	train
Q9NVH2	Homo sapiens	Metazoa	962		0	False	0.0	train
Q12373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385		0	False	3.0	train
Q9Y4W2	Homo sapiens	Metazoa	734		0	False	4.0	train
Q6ZRQ5	Homo sapiens	Metazoa	1243		0	False	4.0	train
Q9SN22	Arabidopsis thaliana	Plants	410		0	False	1.0	train
Q8K2X8	Mus musculus	Metazoa	71		0	False	0.0	train
Q91Z31	Mus musculus	Metazoa	531		0	False	3.0	train
Q8INR6	Drosophila melanogaster	Metazoa	1848		0	False	2.0	train
Q8N766	Homo sapiens	Metazoa	993	22.0	1		1.0	train
Q19253	Caenorhabditis elegans	Metazoa	592		0	False	0.0	train
Q8NDV2	Homo sapiens	Metazoa	337		0	True	2.0	train
Q9H840	Homo sapiens	Metazoa	131		0	False	0.0	train
Q5WRN1	Caenorhabditis elegans	Metazoa	301		0	True	3.0	train
P53899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		0	False	3.0	train
Q9WTV0	Rattus norvegicus	Metazoa	417		0	False	2.0	train
Q9GZN7	Homo sapiens	Metazoa	287		0	False	2.0	train
Q8W593	Arabidopsis thaliana	Plants	350		0	False	2.0	train
P17353	Spinacia oleracea	Plants	135		0	False	2.0	train
P14066	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	229		0	False	4.0	train
Q9FR37	Arabidopsis thaliana	Plants	425		0	False	4.0	train
P83214	Octopus vulgaris	Metazoa	56		0	False	4.0	train
Q9Y6W5	Homo sapiens	Metazoa	498		0	False	1.0	train
P0DW10	Neurospora crassa	Fungi	244		0	False	1.0	train
Q96RQ1	Homo sapiens	Metazoa	377		0	True	4.0	train
Q6C7L6	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	237		0	False	3.0	train
P56383	Mus musculus	Metazoa	146		0	True	3.0	train
A0A076FFM5	Ocimum basilicum	Plants	523		0	False	2.0	train
P25068	Bos taurus	Metazoa	64	26.0	1		1.0	train
Q2HJF1	Bos taurus	Metazoa	112		0	False	0.0	train
Q04175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	944		0	False	1.0	train
O82230	Arabidopsis thaliana	Plants	182		0	False	1.0	train
O74500	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	736		0	False	4.0	train
P38633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	127		0	False	2.0	train
Q9FNP4	Arabidopsis thaliana	Plants	174		0	False	0.0	train
Q7XJM2	Arabidopsis thaliana	Plants	618		0	False	1.0	train
P37840	Homo sapiens	Metazoa	140		0	False	1.0	train
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27.0	1		2.0	train
Q9H7M9	Homo sapiens	Metazoa	311	32.0	1		0.0	train
Q8BTW8	Mus musculus	Metazoa	588		0	False	0.0	train
Q12418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	502		0	False	1.0	train
P53366	Sus scrofa	Metazoa	188	21.0	1		2.0	train
P02462	Homo sapiens	Metazoa	1669	27.0	1		1.0	train
Q641G7	Xenopus laevis	Metazoa	168		0	False	0.0	train
P53941	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290		0	False	3.0	train
Q9VW47	Drosophila melanogaster	Metazoa	2531		0	False	0.0	train
Q8CIV7	Mus musculus	Metazoa	274		0	False	3.0	train
P38182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117		0	False	2.0	train
Q8RWV8	Arabidopsis thaliana	Plants	442		0	False	4.0	train
P02760	Homo sapiens	Metazoa	352	19.0	1		3.0	train
E9Q9M8	Mus musculus	Metazoa	600		0	False	0.0	train
Q9W6G7	Xenopus laevis	Metazoa	463		0	False	2.0	train
P33447	Trypanosoma cruzi	Other	416		0	False	2.0	train
Q15465	Homo sapiens	Metazoa	462	23.0	1		3.0	train
Q9WV78	Rattus norvegicus	Metazoa	438		0	True	3.0	train
Q8N126	Homo sapiens	Metazoa	398	24.0	1		2.0	train
P82924	Bos taurus	Metazoa	435		0	False	2.0	train
Q9UM63	Homo sapiens	Metazoa	463		0	False	0.0	train
Q9LHF5	Arabidopsis thaliana	Plants	602		0	False	3.0	train
Q9M3K7	Spinacia oleracea	Plants	101		0	False	3.0	train
O60141	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299		0	False	3.0	train
Q06706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1349		0	False	2.0	train
Q90578	Gallus gallus	Metazoa	464		0	False	4.0	train
P07359	Homo sapiens	Metazoa	652	16.0	1		2.0	train
O35625	Mus musculus	Metazoa	863		0	False	0.0	train
P0C1Z6	Homo sapiens	Metazoa	253		0	False	1.0	train
Q8C8Y5	Mus musculus	Metazoa	445		0	False	4.0	train
Q5ANE3	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	170		0	True	2.0	train
D0VWV4	Sus scrofa	Metazoa	169		0	True	1.0	train
Q9BS16	Homo sapiens	Metazoa	269		0	False	1.0	train
Q14739	Homo sapiens	Metazoa	615		0	False	3.0	train
Q9NY25	Homo sapiens	Metazoa	188		0	True	3.0	train
Q96HE7	Homo sapiens	Metazoa	468	23.0	1		4.0	train
Q05905	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244		0	False	0.0	train
P20609	Dictyostelium discoideum	Other	53		0	False	2.0	train
P53192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235		0	True	4.0	train
Q8I1X7	Plasmodium falciparum (isolate 3D7)	Other	579		0	False	4.0	train
Q8H186	Arabidopsis thaliana	Plants	389		0	False	1.0	train
Q9FG37	Arabidopsis thaliana	Plants	838		0	False	1.0	train
Q06667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		0	False	0.0	train
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21.0	1		4.0	train
Q6K1E7	Mus musculus	Metazoa	370		0	False	4.0	train
P34802	Arabidopsis thaliana	Plants	371		0	False	4.0	train
Q6PE84	Mus musculus	Metazoa	287		0	True	2.0	train
P16554	Drosophila melanogaster	Metazoa	556		0	False	2.0	train
P80356	Avena sativa	Plants	220	19.0	1		0.0	train
O49292	Arabidopsis thaliana	Plants	260		0	False	4.0	train
Q96I76	Homo sapiens	Metazoa	525		0	False	1.0	train
Q19131	Caenorhabditis elegans	Metazoa	813		0	False	4.0	train
Q6UX52	Homo sapiens	Metazoa	265	20.0	1		3.0	train
P23369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157		0	False	1.0	train
Q1MTN3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1018		0	False	1.0	train
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		0	False	2.0	train
C7AJA4	Trypanosoma brucei brucei	Other	406		0	False	1.0	train
Q9LRZ3	Arabidopsis thaliana	Plants	641		0	False	2.0	train
Q9BWU0	Homo sapiens	Metazoa	742		0	False	4.0	train
O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613		0	False	4.0	train
Q6NQK2	Arabidopsis thaliana	Plants	449		0	False	0.0	train
Q9UIL8	Homo sapiens	Metazoa	331		0	False	3.0	train
Q9UQY9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429		0	False	2.0	train
Q8I4V8	Plasmodium falciparum (isolate 3D7)	Other	304		0	False	1.0	train
P32357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	355		0	False	4.0	train
Q8WUM0	Homo sapiens	Metazoa	1156		0	False	3.0	train
Q96AP7	Homo sapiens	Metazoa	390	29.0	1		1.0	train
Q7S5N0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	364		0	False	0.0	train
P97452	Mus musculus	Metazoa	732		0	False	1.0	train
Q8IDM6	Plasmodium falciparum (isolate 3D7)	Other	422		0	True	2.0	train
P38281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316		0	False	3.0	train
C4LY96	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1151		0	False	2.0	train
Q10296	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	138		0	False	0.0	train
Q9STF2	Arabidopsis thaliana	Plants	510		0	False	3.0	train
Q9U226	Caenorhabditis elegans	Metazoa	342		0	False	2.0	train
P42696	Homo sapiens	Metazoa	430		0	False	3.0	train
O74309	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	807		0	False	4.0	train
P34225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687		0	False	1.0	train
Q8IZF0	Homo sapiens	Metazoa	1738		0	True	0.0	train
Q03482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	75		0	False	0.0	train
Q45VK7	Mus musculus	Metazoa	4306		0	False	0.0	train
P87112	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2100		0	False	2.0	train
Q95Y80	Caenorhabditis elegans	Metazoa	853		0	False	4.0	train
P06865	Homo sapiens	Metazoa	529	22.0	1		4.0	train
P05059	Bos taurus	Metazoa	449	18.0	1		4.0	train
Q9SA98	Arabidopsis thaliana	Plants	345		0	False	1.0	train
P34233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	588		0	False	1.0	train
Q9XII1	Arabidopsis thaliana	Plants	307		0	False	0.0	train
Q8VHQ2	Mus musculus	Metazoa	579		0	False	4.0	train
O23722	Arabidopsis thaliana	Plants	412		0	False	1.0	train
Q03761	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		0	False	3.0	train
Q0DRX6	Oryza sativa subsp. japonica	Plants	902		0	False	3.0	train
O94979	Homo sapiens	Metazoa	1220		0	False	2.0	train
P53598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	329		0	False	2.0	train
P23255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407		0	False	3.0	train
Q9VEC1	Drosophila melanogaster	Metazoa	642		0	False	1.0	train
Q9EPB4	Mus musculus	Metazoa	193		0	False	4.0	train
O60174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	582		0	False	1.0	train
P40967	Homo sapiens	Metazoa	661	24.0	1		0.0	train
P29747	Drosophila melanogaster	Metazoa	516		0	False	2.0	train
O14097	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	331		0	False	2.0	train
Q8BKA3	Mus musculus	Metazoa	608		0	False	0.0	train
Q6ATB4	Oryza sativa subsp. japonica	Plants	583		0	False	1.0	train
Q9M394	Arabidopsis thaliana	Plants	471		0	False	0.0	train
Q9DB77	Mus musculus	Metazoa	453		0	False	0.0	train
Q06149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	701		0	False	0.0	train
Q9W148	Drosophila melanogaster	Metazoa	731		0	False	4.0	train
P32198	Rattus norvegicus	Metazoa	773		0	True	3.0	train
P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		0	False	2.0	train
Q384Y1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	929		0	False	4.0	train
P28798	Mus musculus	Metazoa	589	17.0	1		0.0	train
Q9JLI8	Mus musculus	Metazoa	962		0	False	2.0	train
Q08509	Mus musculus	Metazoa	821		0	False	4.0	train
Q9BVN2	Homo sapiens	Metazoa	902		0	False	3.0	train
